Treatment,Accuracy
baseline,1.0
L10-P1-A1.0,0.8787878787878788
L10-P1-A1.2,0.5909090909090909
L10-P1-A1.5,0.3181818181818182
L10-P1-A2.0,0.10606060606060606
L10-P1-A2.5,0.09090909090909091
L10-P1-A3.0,0.07575757575757576
L10-P1-A3.5,0.07575757575757576
L10-P1-A4.0,0.07575757575757576
L10-P1-A5.0,0.09090909090909091
L10-P1-A7.0,0.09090909090909091
L10-P1-A9.0,0.10606060606060606
L10-P1-A10.0,0.09090909090909091
L10-P1-A12.0,0.09090909090909091
L10-P1-A14.0,0.09090909090909091
L10-P1-A20.0,0.07575757575757576
L10-P1-A25.0,0.09090909090909091
L10-P1-A30.0,0.09090909090909091
L10-P1-A35.0,0.10606060606060606
L10-P1-A50,0.10606060606060606
L10-P1-A100,0.10606060606060606
L10-P1-A1000000000,0.10606060606060606
