Treatment,Accuracy
baseline,1.0
L5-P1,1.0
L5-P2,1.0
L5-P3,1.0
L5-P4,0.6
L6-P1,1.0
L6-P2,1.0
L6-P3,1.0
L6-P4,0.2
L7-P1,0.9333333333333333
L7-P2,0.9333333333333333
L7-P3,0.9333333333333333
L7-P4,0.2
L8-P1,1.0
L8-P2,0.8
L8-P3,0.7333333333333333
L8-P4,0.13333333333333333
L9-P1,1.0
L9-P2,0.8666666666666667
L9-P3,0.8666666666666667
L9-P4,0.26666666666666666
L10-P1,1.0
L10-P2,0.8666666666666667
L10-P3,0.8666666666666667
L10-P4,0.26666666666666666
L11-P1,0.9333333333333333
L11-P2,0.8
L11-P3,0.8
L11-P4,0.3333333333333333
L12-P1,1.0
L12-P2,0.8
L12-P3,0.8
L12-P4,0.4666666666666667
L13-P1,0.9333333333333333
L13-P2,0.7333333333333333
L13-P3,0.7333333333333333
L13-P4,0.4666666666666667
L14-P1,0.8666666666666667
L14-P2,0.7333333333333333
L14-P3,0.7333333333333333
L14-P4,0.3333333333333333
L15-P1,0.9333333333333333
L15-P2,0.7333333333333333
L15-P3,0.7333333333333333
L15-P4,0.5333333333333333
