Treatment,Accuracy
baseline,1.0
L8-P1-D0.80,0.19696969696969696
L8-P1-D0.85,0.18181818181818182
L8-P1-D0.90,0.18181818181818182
L8-P1-D0.95,0.18181818181818182
L8-P1-D1.00,0.16666666666666666
L8-P1-D1.05,0.12121212121212122
L8-P1-D1.7,0.045454545454545456
L8-P1-D1.8,0.045454545454545456
L8-P1-D1.9,0.045454545454545456
L8-P1-D1.10,0.12121212121212122
L8-P1-D1.15,0.12121212121212122
L8-P1-D1.20,0.09090909090909091
L8-P1-D1.25,0.09090909090909091
L8-P1-D1.30,0.09090909090909091
L8-P1-D1.35,0.07575757575757576
L8-P1-D1.40,0.06060606060606061
L8-P1-D1.45,0.06060606060606061
L8-P1-D1.50,0.06060606060606061
L8-P1-D1.55,0.06060606060606061
L8-P1-D1.60,0.06060606060606061
L8-P1-D1.65,0.045454545454545456
L8-P1-D2.0,0.045454545454545456
L8-P1-D2.5,0.045454545454545456
L8-P1-D3.0,0.045454545454545456
