Treatment,Accuracy
baseline,1.0
L5-P1,0.4090909090909091
L6-P1,0.24242424242424243
L7-P1,0.19696969696969696
L8-P1,0.16666666666666666
L9-P1,0.15151515151515152
L10-P1,0.10606060606060606
L11-P1,0.18181818181818182
L12-P1,0.21212121212121213
L13-P1,0.24242424242424243
L14-P1,0.22727272727272727
L15-P1,0.30303030303030304
L16-P1,0.2878787878787879
L17-P1,0.2727272727272727
L18-P1,0.30303030303030304
L19-P1,0.25757575757575757
L20-P1,0.2727272727272727
L21-P1,0.24242424242424243
L22-P1,0.2727272727272727
L23-P1,0.2727272727272727
L24-P1,0.2727272727272727
L25-P1,0.2727272727272727
L26-P1,0.2878787878787879
L27-P1,0.3181818181818182
L28-P1,0.30303030303030304
